scale_name,url,notes,signature
C Mixolydian,https://pulse.berklee.edu/scales/c-mixolydian-scale.html,C D E F G A Bb,1 flat
C# Mixolydian,https://pulse.berklee.edu/scales/c-sharp-mixolydian-scale.html,C# D# E# F# G# A# B,6 sharps
D Mixolydian,https://pulse.berklee.edu/scales/d-mixolydian-scale.html,D E F# G A B C,1 sharp
Eb Mixolydian,https://pulse.berklee.edu/scales/e-flat-mixolydian-scale.html,Eb F G Ab Bb C Db,4 flats
E Mixolydian,https://pulse.berklee.edu/scales/e-mixolydian-scale.html,E F# G# A B C# D,3 sharps
F Mixolydian,https://pulse.berklee.edu/scales/f-mixolydian-scale.html,F G A Bb C D Eb,2 flats
F# Mixolydian,https://pulse.berklee.edu/scales/f-sharp-mixolydian-scale.html,F# G# A# B C# D# E,5 sharps
G Mixolydian,https://pulse.berklee.edu/scales/g-mixolydian-scale.html,G A B C D E F,0 flats or sharps
Ab Mixolydian,https://pulse.berklee.edu/scales/a-flat-mixolydian-scale.html,Ab Bb C Db Eb F Gb,5 flats
A Aeolian,https://pulse.berklee.edu/scales/a-aeolian-scale.html,A B C D E F G,0 flats or sharps
Bb Aeolian,https://pulse.berklee.edu/scales/b-flat-aeolian-scale.html,Bb C Db Eb F Gb Ab,5 flats
B Aeolian,https://pulse.berklee.edu/scales/b-aeolian-scale.html,B C# D E F# G A,2 sharps
C Aeolian,https://pulse.berklee.edu/scales/c-aeolian-scale.html,C D Eb F G Ab Bb,3 flats
C# Aeolian,https://pulse.berklee.edu/scales/c-sharp-aeolian-scale.html,C# D# E F# G# A B,4 sharps
D Aeolian,https://pulse.berklee.edu/scales/d-aeolian-scale.html,D E F G A Bb C,1 flat
D# Aeolian,https://pulse.berklee.edu/scales/d-sharp-aeolian-scale.html,D# E# F# G# A# B C#,6 sharps
E Aeolian,https://pulse.berklee.edu/scales/e-aeolian-scale.html,E F# G A B C D,1 sharp
F Aeolian,https://pulse.berklee.edu/scales/f-aeolian-scale.html,F G Ab Bb C Db Eb,4 flats
F# Aeolian,https://pulse.berklee.edu/scales/f-sharp-aeolian-scale.html,F# G# A B C# D E,3 sharps
G Aeolian,https://pulse.berklee.edu/scales/g-aeolian-scale.html,G A Bb C D Eb F,2 flats
G# Aeolian,https://pulse.berklee.edu/scales/g-sharp-aeolian-scale.html,G# A# B C# D# E F#,5 sharps
A Locrian,https://pulse.berklee.edu/scales/a-locrian-scale.html,A Bb C D Eb F G,2 flats
A# Locrian,https://pulse.berklee.edu/scales/a-sharp-locrian-scale.html,A# B C# D# E F# G#,5 sharps
B Locrian,https://pulse.berklee.edu/scales/b-locrian-scale.html,B C D E F G A,0 flats or sharps
C Locrian,https://pulse.berklee.edu/scales/c-locrian-scale.html,C Db Eb F Gb Ab Bb,5 flats
C# Locrian,https://pulse.berklee.edu/scales/c-sharp-locrian-scale.html,C# D E F# G A B,2 sharps
D Locrian,https://pulse.berklee.edu/scales/d-locrian-scale.html,D Eb F G Ab Bb C,3 flats
D# Locrian,https://pulse.berklee.edu/scales/d-sharp-locrian-scale.html,D# E F# G# A B C#,4 sharps
E Locrian,https://pulse.berklee.edu/scales/e-locrian-scale.html,E F G A Bb C D,1 flat
F Locrian,https://pulse.berklee.edu/scales/f-locrian-scale.html,F Gb Ab Bb Cb Db Eb,6 sharps
F# Locrian,https://pulse.berklee.edu/scales/f-sharp-locrian-scale.html,F# G A B C D E,1 sharp
G Locrian,https://pulse.berklee.edu/scales/g-locrian-scale.html,G Ab Bb C Db Eb F,4 flats
G# Locrian,https://pulse.berklee.edu/scales/g-sharp-locrian-scale.html,G# A B C# D E F#,3 sharps
A Major Pentatonic Scale,https://pulse.berklee.edu/scales/a-major-pentatonic-scale.html,A B C# E F#,3 sharps
Bb Major Pentatonic Scale,https://pulse.berklee.edu/scales/b-flat-major-pentatonic-scale.html,Bb C D F G,2 flats
B Major Pentatonic Scale,https://pulse.berklee.edu/scales/b-major-pentatonic-scale.html,B C# D# F# G#,5 sharps
C Major Pentatonic Scale,https://pulse.berklee.edu/scales/c-major-pentatonic-scale.html,C D E G A,0 flats or sharps
